text,label_str,label,text_length,word_count,text_original,changed,label_id
i did not feel intimidated by the wealth of past greek writing but was instead inspired soothed relaxed stimulated by the landscape the legends and the history,fear,1,159,27,i did not feel intimidated by the wealth of past greek writing but was instead inspired soothed relaxed stimulated by the landscape the legends and the history,False,1
i am feeling faithful about my project,joy,2,38,7,i am feeling faithful about my project,False,2
i feel threatened by anyone i get this feeling that i want to kill someone,fear,1,74,15,i feel threatened by anyone i get this feeling that i want to kill someone,False,1
i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc,fear,1,188,40,i feel strongly about or a line that i want to draw in the sand so to speak i shouldn t be afraid especially at this point to bring up how i feel about what my conclusion should entail etc,False,1
i read other peoples posts there are moments where i feel id give my left fingernail to be them my left fingernail is precious because its the only one i can polish perfectly out of the,joy,2,185,36,i read other peoples posts there are moments where i feel id give my left fingernail to be them my left fingernail is precious because its the only one i can polish perfectly out of the,False,2
i finish this note not wanting to sound sad i feel positive and happy iv written it down its gone from my head so i can stop dwelling and move on to making it happen,joy,2,165,35,i finish this note not wanting to sound sad i feel positive and happy iv written it down its gone from my head so i can stop dwelling and move on to making it happen,False,2
i have just moved here and already i feel welcomed,joy,2,50,10,i have just moved here and already i feel welcomed,False,2
i feel successful in balancing my paid work and family life or i am satisfied with the balance i have achieved between my work and life on a scale of to,joy,2,152,31,i feel successful in balancing my paid work and family life or i am satisfied with the balance i have achieved between my work and life on a scale of to,False,2
i have also realized that while i may feel fabulous some days today is proof that im still right there in it with all my listeners,joy,2,130,26,i have also realized that while i may feel fabulous some days today is proof that im still right there in it with all my listeners,False,2
i feel like its flying by and im afraid im going to miss something,fear,1,66,14,i feel like its flying by and im afraid im going to miss something,False,1
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,fear,1,216,42,i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,False,1
i begun to feel distressed for you,fear,1,34,7,i begun to feel distressed for you,False,1
i don t need to drop feelings like a hot potato or slam the door shut on them,love,3,77,18,i don t need to drop feelings like a hot potato or slam the door shut on them,False,3
i didnt feel at all deprived having it in my chai this morning,sadness,4,62,13,i didnt feel at all deprived having it in my chai this morning,False,4
i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude,anger,0,110,23,i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude,False,0
i just don t feel as impressed and as happy with things like i used to,surprise,5,70,16,i just don t feel as impressed and as happy with things like i used to,False,5
i left there feeling brow beaten,sadness,4,32,6,i left there feeling brow beaten,False,4
i have had my treasury selection on the front page a couple of times and believe me it is a real squeeee moment you feel jolly and smug and treat yourself to extra chocolate that day,joy,2,182,36,i have had my treasury selection on the front page a couple of times and believe me it is a real squeeee moment you feel jolly and smug and treat yourself to extra chocolate that day,False,2
i was in sams angsty headspace jensens voice singing bon jovi was making me feel horny as hell,love,3,94,18,i was in sams angsty headspace jensens voice singing bon jovi was making me feel horny as hell,False,3
i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,fear,1,101,18,i was pregnant with dean i spent the rest of my pregnancy feeling terrified about having another baby,False,1
im sitting here feeling very disheartened,sadness,4,41,6,im sitting here feeling very disheartened,False,4
i feel so cranky irrationally,anger,0,29,5,i feel so cranky irrationally,False,0
i came out of there feeling so abused,sadness,4,37,8,i came out of there feeling so abused,False,4
i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration,anger,0,127,25,i feel like todd is getting too stressed or tired with caleb i will take him because i dont want caleb to feel that frustration,False,0
i am definitely feeling the effects of the progesterone in two ways my breasts are tender and i m tired,love,3,103,20,i am definitely feeling the effects of the progesterone in two ways my breasts are tender and i m tired,False,3
i feel insulted to see anyone wearing crocs the fashionable shoe icon,anger,0,69,12,i feel insulted to see anyone wearing crocs the fashionable shoe icon,False,0
i apologize to anyone who may feel i have been a neglectful slacker mcslackerson,sadness,4,80,14,i apologize to anyone who may feel i have been a neglectful slacker mcslackerson,False,4
i was angry at myself for feeling drained and exhausted especially since i had to go to my second and third jobs and wouldnt be home until much later that evening,sadness,4,162,31,i was angry at myself for feeling drained and exhausted especially since i had to go to my second and third jobs and wouldnt be home until much later that evening,False,4
i feel so horrible that you had to go through all that just because you grew up a little earlier than your friends,sadness,4,114,23,i feel so horrible that you had to go through all that just because you grew up a little earlier than your friends,False,4
i spent saturday night and all of sunday feeling pretty lousy,sadness,4,61,11,i spent saturday night and all of sunday feeling pretty lousy,False,4
im feeling cranky a href http doingaone eighty,anger,0,46,8,im feeling cranky a href http doingaone eighty,False,0
i want to know exactly the meaning behind these effin feelings and submissive thinkings,sadness,4,87,14,i want to know exactly the meaning behind these effin feelings and submissive thinkings,False,4
when i noticed two spiders running on the floor in different directions,anger,0,71,12,when i noticed two spiders running on the floor in different directions,False,0
i wear makeup not only to reflect how beautiful i truly feel on in the inside but also to break the stereotype of the nerdy timid out of the loop woman in the sciences,fear,1,167,34,i wear makeup not only to reflect how beautiful i truly feel on in the inside but also to break the stereotype of the nerdy timid out of the loop woman in the sciences,False,1
i was bursting to feel the inside of this delicious woman s cunt,joy,2,64,13,i was bursting to feel the inside of this delicious woman s cunt,False,2
i could just picture it with it homely feel and also having the smell of books would just be totally amazing,surprise,5,108,21,i could just picture it with it homely feel and also having the smell of books would just be totally amazing,False,5
im nervous but feeling passionate,joy,2,33,5,im nervous but feeling passionate,False,2
i never want to diminish the pain ocd has placed on peoples shoulders and so i speak only for myself when i say there is and has been worse to go through than the burden i feel i think to watch my children starve suffer or be tortured would be much worse,fear,1,254,52,i never want to diminish the pain ocd has placed on peoples shoulders and so i speak only for myself when i say there is and has been worse to go through than the burden i feel i think to watch my children starve suffer or be tortured would be much worse,False,1
i am now drunk again and feel fab,joy,2,33,8,i am now drunk again and feel fab,False,2
iv tried it once and reading back to my problems made me feel like a superior helping out a young naive person,joy,2,110,22,iv tried it once and reading back to my problems made me feel like a superior helping out a young naive person,False,2
ive been feeling jealous lately of bloggers going off to author readings and book si,anger,0,84,15,ive been feeling jealous lately of bloggers going off to author readings and book si,False,0
i feel like i have an artistic block right now and my artwork looks stiff and forced when that happens,joy,2,102,20,i feel like i have an artistic block right now and my artwork looks stiff and forced when that happens,False,2
i was feeling very resentful,anger,0,28,5,i was feeling very resentful,False,0
i can feel something unfortunate taking place though out here and in new york,sadness,4,77,14,i can feel something unfortunate taking place though out here and in new york,False,4
i wasn t sure what prompted the thought since i m feeling so blessed these days and the idea of giving up hasn t been a part of my thought process and rarely is in as long as i can remember,love,3,189,41,i wasn t sure what prompted the thought since i m feeling so blessed these days and the idea of giving up hasn t been a part of my thought process and rarely is in as long as i can remember,False,3
i feel now i am not giving all of me to christ and i want to be devoted,love,3,71,18,i feel now i am not giving all of me to christ and i want to be devoted,False,3
i could say that will make anyone feel better than actually reaching their goal themselves,joy,2,90,15,i could say that will make anyone feel better than actually reaching their goal themselves,False,2
i need to be just as open with them as i am with some of my friends when i feel that they have wronged me,anger,0,105,25,i need to be just as open with them as i am with some of my friends when i feel that they have wronged me,False,0
i forgive myself that i have accepted and allowed myself to feel tortured by a headache,anger,0,87,16,i forgive myself that i have accepted and allowed myself to feel tortured by a headache,False,0
i am starting to feel emotional,sadness,4,31,6,i am starting to feel emotional,False,4
once i was caught by thugs aged between,fear,1,39,8,once i was caught by thugs aged between,False,1
im feeling shy im feeling mad im feeling sad,fear,1,44,9,im feeling shy im feeling mad im feeling sad,False,1
i chose not to use weaving in this piece i feel like it goes well within the collection of my other pieces that i have made this semester because of its similar shapes and materials,joy,2,181,35,i chose not to use weaving in this piece i feel like it goes well within the collection of my other pieces that i have made this semester because of its similar shapes and materials,False,2
i am feeling the positive impact of the new meditative tools pam is giving me as well more strongly and clearly,joy,2,111,21,i am feeling the positive impact of the new meditative tools pam is giving me as well more strongly and clearly,False,2
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger,0,94,18,i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,False,0
i made a shocking discovery that made me feel incredibly dumb and to which i of course feel the need to share,sadness,4,109,22,i made a shocking discovery that made me feel incredibly dumb and to which i of course feel the need to share,False,4
i feel gloomy and depressed nothing is more calculated to cast a cloud over us than a rainy day,sadness,4,95,19,i feel gloomy and depressed nothing is more calculated to cast a cloud over us than a rainy day,False,4
i was feeling stressed and a little lonely earlier and now i feel stressed lonely and sick,sadness,4,90,17,i was feeling stressed and a little lonely earlier and now i feel stressed lonely and sick,False,4
i feel less stress about doing pretty much any unpleasant obligation in life because i know that i will allow myself to mix it with things i enjoy running baking climbing coffee with girlfriends cuddling with my dog reading a book,sadness,4,230,41,i feel less stress about doing pretty much any unpleasant obligation in life because i know that i will allow myself to mix it with things i enjoy running baking climbing coffee with girlfriends cuddling with my dog reading a book,False,4
i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,anger,0,183,38,i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,False,0
i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,anger,0,178,34,i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,False,0
i feel submissive in front of sexy girls,sadness,4,40,8,i feel submissive in front of sexy girls,False,4
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,surprise,5,177,33,i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,False,5
i feel personally ashamed that god made the sacrifice he did,sadness,4,60,11,i feel personally ashamed that god made the sacrifice he did,False,4
i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger,0,119,24,i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,False,0
i feel horrible again today,sadness,4,27,5,i feel horrible again today,False,4
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,0,169,36,i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,False,0
i get lots of praises i feel proud sometimes,joy,2,44,9,i get lots of praises i feel proud sometimes,False,2
i cannot help but feel outraged to recognize that essentially children in america have no rights at all,anger,0,103,18,i cannot help but feel outraged to recognize that essentially children in america have no rights at all,False,0
im feeling very curious ill pull out geology maps,surprise,5,49,9,im feeling very curious ill pull out geology maps,False,5
i started going down the adventure feeling totally ludicrous and wondering if this wasnt all just a waste of my time thats when i saw this screenshot,surprise,5,149,27,i started going down the adventure feeling totally ludicrous and wondering if this wasnt all just a waste of my time thats when i saw this screenshot,False,5
i feel so eager to do things the way he wants and likes,joy,2,55,13,i feel so eager to do things the way he wants and likes,False,2
i remember feeling amazed,surprise,5,25,4,i remember feeling amazed,False,5
im feeling better than expected,joy,2,31,5,im feeling better than expected,False,2
i feel relaxed energized and im breathing more fully without extra effort,joy,2,73,12,i feel relaxed energized and im breathing more fully without extra effort,False,2
im so tired and heavy all the time its a familiar feeling though not a pleasant one,joy,2,83,17,im so tired and heavy all the time its a familiar feeling though not a pleasant one,False,2
i feel that she was trying to hurt me,sadness,4,37,9,i feel that she was trying to hurt me,False,4
im feeling this little one move a lot now and im constantly surprised by his her little kicks,surprise,5,93,18,im feeling this little one move a lot now and im constantly surprised by his her little kicks,False,5
i have a sick feeling a longing for each second to be with you even though that will inevitably make it worse when you leave liverpool,love,3,134,26,i have a sick feeling a longing for each second to be with you even though that will inevitably make it worse when you leave liverpool,False,3
i start to feel like im getting over the death of my beloved cat timmy and when i get used to the idea of only seeing my mum maybe twice a ytear from now on and justwhen i start planning for my futrue and happy timesa ahead i start efeeling like this again,love,3,256,53,i start to feel like im getting over the death of my beloved cat timmy and when i get used to the idea of only seeing my mum maybe twice a ytear from now on and justwhen i start planning for my futrue and happy timesa ahead i start efeeling like this again,False,3
i feel i am really a cute pirate girl than the somewhat cute landlubber man that i sort of am,joy,2,93,20,i feel i am really a cute pirate girl than the somewhat cute landlubber man that i sort of am,False,2
i came back and for some reason my mind feels blank,sadness,4,51,11,i came back and for some reason my mind feels blank,False,4
i guess ive heard enough over the two months because each time i hear such comments i honestly feel offended,anger,0,108,20,i guess ive heard enough over the two months because each time i hear such comments i honestly feel offended,False,0
i feel pretty the body of the email usually contains oh so pretty,joy,2,65,13,i feel pretty the body of the email usually contains oh so pretty,False,2
i suggest before you begin you take some time to reflect on your relationships and understand what specifically makes you feel valued and loved and what makes you feel insecure and unnecessary,joy,2,192,32,i suggest before you begin you take some time to reflect on your relationships and understand what specifically makes you feel valued and loved and what makes you feel insecure and unnecessary,False,2
i truly feel sorry for them,sadness,4,27,6,i truly feel sorry for them,False,4
i cant help but feel a little humiliated,sadness,4,40,8,i cant help but feel a little humiliated,False,4
i could feel the depth and richness of the hot pot starting to develop but every small event took me away from gathering the heat to speed along the process,love,3,156,30,i could feel the depth and richness of the hot pot starting to develop but every small event took me away from gathering the heat to speed along the process,False,3
i feel more than ever that the computers i pour code and art into are extensions of myself and thats pretty goddamned cool in my book but i am hopelessly romantic about creativity and prone to fits of stereotypical artist bullshit so grain of salt,joy,2,247,45,i feel more than ever that the computers i pour code and art into are extensions of myself and thats pretty goddamned cool in my book but i am hopelessly romantic about creativity and prone to fits of stereotypical artist bullshit so grain of salt,False,2
i stay up and feel foolish,sadness,4,26,6,i stay up and feel foolish,False,4
i feel like a confused year old that has no control,fear,1,51,11,i feel like a confused year old that has no control,False,1
i began to feel accepted by gaia on her own terms,love,3,49,11,i began to feel accepted by gaia on her own terms,False,3
i feel like i ll never be as graceful an,joy,2,40,10,i feel like i ll never be as graceful an,False,2
i feel passionate that students should have choice in their reading and that it is my job to encourage a love of reading,joy,2,120,23,i feel passionate that students should have choice in their reading and that it is my job to encourage a love of reading,False,2
i know you are stronger than me for anythings else in you life and you can heal so faster like right now i think you already feel ok about it,joy,2,141,30,i know you are stronger than me for anythings else in you life and you can heal so faster like right now i think you already feel ok about it,False,2
i don t mean to behave so cut off but i feel so lethargic to utter one single word to anyone,sadness,4,92,21,i don t mean to behave so cut off but i feel so lethargic to utter one single word to anyone,False,4
i help a lot of people at a later time when i m feeling pissed off with things i might look back at my life and say hey i m not that bad a person,anger,0,145,35,i help a lot of people at a later time when i m feeling pissed off with things i might look back at my life and say hey i m not that bad a person,False,0
i don t want him to feel disrespected or unloved,sadness,4,48,10,i don t want him to feel disrespected or unloved,False,4
i have gained some weight i feel very insecure in my self image,fear,1,63,13,i have gained some weight i feel very insecure in my self image,False,1
i was feeling a little disappointed in how little my hair had improved and the stickiness that was lingering,sadness,4,108,19,i was feeling a little disappointed in how little my hair had improved and the stickiness that was lingering,False,4
i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,joy,2,194,39,i feel like i am joining the masses which goes against my rebellion of the popular mentality ha i m so goth but i take peace in knowing that i am not making the same resolutions as everyone else,False,2
i was pregnant with emily and therefore always feeling exhausted it wasn t that hard to sleep when walter slept if i needed the extra rest,sadness,4,138,26,i was pregnant with emily and therefore always feeling exhausted it wasn t that hard to sleep when walter slept if i needed the extra rest,False,4
i remember feeling absolutely devastated when i heard that peach wasn t actually there to give me cake,sadness,4,102,18,i remember feeling absolutely devastated when i heard that peach wasn t actually there to give me cake,False,4
i feel like disbanding this popular server would let down the community and him which seems very selfish of me,joy,2,110,20,i feel like disbanding this popular server would let down the community and him which seems very selfish of me,False,2
i wave remember how many people love you and feel our arms supporting you under the deep and painful sea,joy,2,104,20,i wave remember how many people love you and feel our arms supporting you under the deep and painful sea,False,2
i feel really anxious,fear,1,21,4,i feel really anxious,False,1
i didn t want to leave but i didn t before i thanked her parents for trusting me to spend the night and that it made me feel like they respected me,joy,2,147,32,i didn t want to leave but i didn t before i thanked her parents for trusting me to spend the night and that it made me feel like they respected me,False,2
i am feeling profoundly peaceful,joy,2,32,5,i am feeling profoundly peaceful,False,2
i feel hopeless and i realize i have met none of those goals,sadness,4,60,13,i feel hopeless and i realize i have met none of those goals,False,4
i feel very blessed to call them mom and dad,joy,2,44,10,i feel very blessed to call them mom and dad,False,2
i set out to make a copycat version of it saturday and i feel i was pretty successful,joy,2,85,18,i set out to make a copycat version of it saturday and i feel i was pretty successful,False,2
i feel so eager to prove to my friend that im not like that,joy,2,59,14,i feel so eager to prove to my friend that im not like that,False,2
i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students,anger,0,294,56,i also feel that i am often a burden and in the way more than anything as a nursing student to the other nurses yet i must remember that while some may be grumpy at our presence everyone has to learn somewhere and boo friggety hoo if some medical personnel are irritated by the nursing students,False,0
im feeling adventurous today getting excited about my upcoming vacation so i thought why not dress for my mood,joy,2,110,19,im feeling adventurous today getting excited about my upcoming vacation so i thought why not dress for my mood,False,2
i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality,joy,2,185,35,i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality,False,2
i feel so uncertain about the decade ahead,fear,1,42,8,i feel so uncertain about the decade ahead,False,1
i hate feeling empty and numb,sadness,4,29,6,i hate feeling empty and numb,False,4
i feel convinced that i am on the brink of something amazing,joy,2,60,12,i feel convinced that i am on the brink of something amazing,False,2
i feel like nothing i do will be successful against him and that helpless feeling is super sucky and counterproductive,joy,2,118,20,i feel like nothing i do will be successful against him and that helpless feeling is super sucky and counterproductive,False,2
i trust he has a plan and if i stay true to and listen to the promptings in my heart i feel assured that everything will be okay and will be worked out for his plan,joy,2,164,36,i trust he has a plan and if i stay true to and listen to the promptings in my heart i feel assured that everything will be okay and will be worked out for his plan,False,2
i havent exactly felt too positive lately so feel free to remind me of things ive missed in the comments if youd like,joy,2,117,23,i havent exactly felt too positive lately so feel free to remind me of things ive missed in the comments if youd like,False,2
i feel pissed my friend didnt offer me a soda,anger,0,45,10,i feel pissed my friend didnt offer me a soda,False,0
i feel overwhelmed by the fast pace of cities,fear,1,45,9,i feel overwhelmed by the fast pace of cities,False,1
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,love,3,113,22,i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,False,3
i feel all messy,sadness,4,16,4,i feel all messy,False,4
i do feel welcomed but it s a little weird,joy,2,42,10,i do feel welcomed but it s a little weird,False,2
i feel so beaten down and defeated,sadness,4,34,7,i feel so beaten down and defeated,False,4
i feel it is unfortunate that governor riley has stated that he and the republican party are raising funds to unseat democrats in the elections,sadness,4,143,25,i feel it is unfortunate that governor riley has stated that he and the republican party are raising funds to unseat democrats in the elections,False,4
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy,2,133,28,i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,False,2
i was feeling very unsure of myself and at near breaking point,fear,1,62,12,i was feeling very unsure of myself and at near breaking point,False,1
i feel uncomfortable using the word awesome but this idea actually is,fear,1,69,12,i feel uncomfortable using the word awesome but this idea actually is,False,1
i was supposed to be working on a grant application but feeling overwhelmed i decided to curl up with my computer and netflix,surprise,5,125,23,i was supposed to be working on a grant application but feeling overwhelmed i decided to curl up with my computer and netflix,False,5
i go back to my village i feel i am really lonely,sadness,4,49,12,i go back to my village i feel i am really lonely,False,4
i was feeling stubborn so when my friend said that i had to come to her if i wanted a hug i said well come halfway but no so i just walked off and shes leaving today,anger,0,165,37,i was feeling stubborn so when my friend said that i had to come to her if i wanted a hug i said well come halfway but no so i just walked off and shes leaving today,False,0
i just know to begin with i am going to feel shy about it,fear,1,57,14,i just know to begin with i am going to feel shy about it,False,1
im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,joy,2,113,20,im thankful because i feel somewhat energetic instead of the dead fish that i would become every time every chemo,False,2
i remember laying in the bath feeling really emotional knowing that i was going to bring my baby into the world on the day that miss cook was laid to rest,sadness,4,154,31,i remember laying in the bath feeling really emotional knowing that i was going to bring my baby into the world on the day that miss cook was laid to rest,False,4
i had a strange dream last night and woke up today feeling a bit shaken up,fear,1,74,16,i had a strange dream last night and woke up today feeling a bit shaken up,False,1
i feel resigned to my lot in life being that i watch everyone else become a parent,sadness,4,82,17,i feel resigned to my lot in life being that i watch everyone else become a parent,False,4
i feel like special honored guests,joy,2,34,6,i feel like special honored guests,False,2
i used string and pins but i feel they get too messy and cluttered looking,sadness,4,74,15,i used string and pins but i feel they get too messy and cluttered looking,False,4
i do not feel assured in myself and i bet i know a few who can relate,joy,2,69,17,i do not feel assured in myself and i bet i know a few who can relate,False,2
i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man,joy,2,96,20,i love sliding down on a nice big throbbing cock and feeling what my gorgeous body does to a man,False,2
i feel try to tell me im ungrateful tell me im basically the worst daughter sister in the world,sadness,4,95,19,i feel try to tell me im ungrateful tell me im basically the worst daughter sister in the world,False,4
i definitely feel that my poems are in conversation with nature poetry but in the way that a rebellious activist might be in conversation with a government official,anger,0,164,28,i definitely feel that my poems are in conversation with nature poetry but in the way that a rebellious activist might be in conversation with a government official,False,0
i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,surprise,5,146,31,i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,False,5
im feeling thankful for books york peppermint patties finding a roommate this year who has become a very dear friend of mine blake,joy,2,130,23,im feeling thankful for books york peppermint patties finding a roommate this year who has become a very dear friend of mine blake,False,2
i spread my arms wide feeling the cold wind rushing past me feeling the rain hitting me and,anger,0,91,18,i spread my arms wide feeling the cold wind rushing past me feeling the rain hitting me and,False,0
i feel slightly disturbed by the whole thing,sadness,4,44,8,i feel slightly disturbed by the whole thing,False,4
i feel dazed and unsure of a world in which dying young and disasters that sacrifice so many lives in one swath happen let alone happen with frequency great enough to make me cringe,surprise,5,181,34,i feel dazed and unsure of a world in which dying young and disasters that sacrifice so many lives in one swath happen let alone happen with frequency great enough to make me cringe,False,5
i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in,surprise,5,116,27,i feel not surprised by where i ended up i m happy with a lot of what i ve achieved the positions i ve put myself in,False,5
i have reported feeling marginalized intimidated and or subjected to threats of retaliation,fear,1,91,13,i have reported feeling marginalized intimidated and or subjected to threats of retaliation,False,1
i feel a violent urge to vomit and back out of the room,anger,0,55,13,i feel a violent urge to vomit and back out of the room,False,0
i get headaches am easily agitated feel frightened and aggressive,fear,1,65,10,i get headaches am easily agitated feel frightened and aggressive,False,1
i feel so paranoid i don t want to feel like i did back then ever again,fear,1,71,17,i feel so paranoid i don t want to feel like i did back then ever again,False,1
i can feel the presence of my beloved behind me and i tilt my neck to the side smiling at the feel of his lips against my shoulder,love,3,130,28,i can feel the presence of my beloved behind me and i tilt my neck to the side smiling at the feel of his lips against my shoulder,False,3
i am feeling crampy and cranky,anger,0,30,6,i am feeling crampy and cranky,False,0
i feel dazed deserted,surprise,5,21,4,i feel dazed deserted,False,5
i feel amped and im inspired,joy,2,28,6,i feel amped and im inspired,False,2
ive missed over a month of training and organised etape prep rides including the etape caledonia and am generally feeling pretty pissed off and depressed about the whole affair so have avoided thinking about it,anger,0,210,35,ive missed over a month of training and organised etape prep rides including the etape caledonia and am generally feeling pretty pissed off and depressed about the whole affair so have avoided thinking about it,False,0
i will help you in setting the table picking up the dishes after we finish eating and if i feel particulary charming on that day will not pick at my food search for lizards in your house or come out looking green to my gills after having used your restroom,joy,2,256,50,i will help you in setting the table picking up the dishes after we finish eating and if i feel particulary charming on that day will not pick at my food search for lizards in your house or come out looking green to my gills after having used your restroom,False,2
i always dread that part of the meeting although dont think i didnt shoot my hand up into the air feeling all superior week when i lost,joy,2,135,27,i always dread that part of the meeting although dont think i didnt shoot my hand up into the air feeling all superior week when i lost,False,2
i became attached early on and feeling the decline in the relationship scared me,fear,1,80,14,i became attached early on and feeling the decline in the relationship scared me,False,1
i am remembering your touch feeling your fingers caress my aching palms,sadness,4,71,12,i am remembering your touch feeling your fingers caress my aching palms,False,4
i feel the pain in my vein its oh so vain am i insane,sadness,4,53,14,i feel the pain in my vein its oh so vain am i insane,False,4
i feel like life is too good to be true,joy,2,39,10,i feel like life is too good to be true,False,2
i feel as though i am being a little neglectful of my fellow bloggers,sadness,4,69,14,i feel as though i am being a little neglectful of my fellow bloggers,False,4
i nearly called an ambulance feel a bit shaken up saw the doc who has given me some diazepam which im not sure of takeing,fear,1,121,25,i nearly called an ambulance feel a bit shaken up saw the doc who has given me some diazepam which im not sure of takeing,False,1
i have been feeling i find myself becoming less and less amused and interested in many of the activities and attitudes that have brought me joy in the past,joy,2,155,29,i have been feeling i find myself becoming less and less amused and interested in many of the activities and attitudes that have brought me joy in the past,False,2
i wake up feeling cranky and out of sorts,anger,0,41,9,i wake up feeling cranky and out of sorts,False,0
i be made to feel rotten,sadness,4,24,6,i be made to feel rotten,False,4
i was feeling kind of resentful about it since its april and all,anger,0,64,13,i was feeling kind of resentful about it since its april and all,False,0
i can spill my feelings to and tell every pathetic detail of my life,sadness,4,68,14,i can spill my feelings to and tell every pathetic detail of my life,False,4
i feel less than and isolated,sadness,4,29,6,i feel less than and isolated,False,4
i feel just insulted,anger,0,20,4,i feel just insulted,False,0
i know your feeling because i have it and i am glad you have it,joy,2,63,15,i know your feeling because i have it and i am glad you have it,False,2
i feel greedy with my self as of late,anger,0,37,9,i feel greedy with my self as of late,False,0
i feel that peaceful feeling leave me and i feel down,joy,2,53,11,i feel that peaceful feeling leave me and i feel down,False,2
i feel like im taking up some more needy persons place in the er,sadness,4,64,14,i feel like im taking up some more needy persons place in the er,False,4
i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,joy,2,107,22,i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,False,2
i really didnt feel like going out at all but roger was very keen so we all went off to the big noise where my mood lightened slightly,joy,2,134,28,i really didnt feel like going out at all but roger was very keen so we all went off to the big noise where my mood lightened slightly,False,2
i came close to just packing up and heading home but then i wondered would home feel less awful,sadness,4,95,19,i came close to just packing up and heading home but then i wondered would home feel less awful,False,4
i did not directly react to the spot fixing controversy she espressed her feelings feeling on twitter by tweeting the lyrics of a popular bollywood film song,joy,2,157,27,i did not directly react to the spot fixing controversy she espressed her feelings feeling on twitter by tweeting the lyrics of a popular bollywood film song,False,2
i feel threatened when other people do not believe that,fear,1,55,10,i feel threatened when other people do not believe that,False,1
i still feel heartbroken over alot,sadness,4,34,6,i still feel heartbroken over alot,False,4
i too feel hopeful for the coming year,joy,2,38,8,i too feel hopeful for the coming year,False,2
i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float,joy,2,221,46,i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float,False,2
i feel a bit foolish even bothering to post anything on fridays,sadness,4,63,12,i feel a bit foolish even bothering to post anything on fridays,False,4
i knew that if we werent giving thanks its because i wasnt feeling very thankful either,joy,2,87,16,i knew that if we werent giving thanks its because i wasnt feeling very thankful either,False,2
i generally try not to worry about what others think or feel that im putting on a brave face for their benefit,joy,2,110,22,i generally try not to worry about what others think or feel that im putting on a brave face for their benefit,False,2
